ZIP,LAT,LNG,City
93013,34.441370,-119.514092,Carpinteria
93015,34.404104,-118.897776,Fillmore
93021,34.295652,-118.897875,Moorpark
93022,34.407780,-119.306554,Oak View
93023,34.530199,-119.310133,Ojai
93030,34.205247,-119.174092,Oxnard
93033,34.150212,-119.127729,Oxnard
93035,34.181971,-119.224985,Oxnard
93036,34.238786,-119.186492,Oxnard
93040,34.473884,-118.797181,Piru
93041,34.106896,-119.099535,Port Hueneme
93042,33.255655,-119.503588,Port Hueneme
93043,34.170854,-119.202409,Port Hueneme
93060,34.402343,-119.094824,Santa Paula
93063,34.308729,-118.687223,Simi Valley
93064,34.247556,-118.700940,Simi Valley
93065,34.258405,-118.775026,Simi Valley
93066,34.297699,-119.014558,Somis
93067,34.421964,-119.593483,Summerland
93101,34.418979,-119.709166,Santa Barbara
93103,34.438773,-119.678841,Santa Barbara
93105,34.533222,-119.791731,Santa Barbara
93108,34.448024,-119.616984,Santa Barbara
93109,34.406428,-119.726888,Santa Barbara
93110,34.446201,-119.762794,Santa Barbara
93111,34.449185,-119.804782,Santa Barbara
93117,34.479453,-120.084094,Goleta
93201,35.856859,-119.507526,Earlimart
93202,36.313344,-119.708452,Armona
93203,35.112617,-118.832292,Arvin
93204,35.889811,-120.068590,Avenal
93205,35.518295,-118.430032,Bodfish
93206,35.437302,-119.477735,Buttonwillow
93207,35.889831,-118.630592,California Hot Springs
93208,36.056587,-118.568462,Camp Nelson
93210,36.197785,-120.422249,Coalinga
93212,36.042151,-119.527700,Corcoran
93215,35.779507,-119.200825,Delano
93218,35.860883,-119.036140,Ducor
93219,35.873666,-119.281551,Earlimart
93220,35.403611,-118.756525,Bakersfield
93221,36.295014,-119.026031,Exeter
93222,34.842425,-119.203723,Pine Mountain Club
93223,36.304539,-119.204896,Farmersville
93224,35.228199,-119.569304,Fellows
93225,34.768503,-119.030293,Frazier Park
93226,35.735652,-118.738373,Glennville
93230,36.292230,-119.622676,Hanford
93234,36.191268,-120.090097,Huron
93235,36.389827,-119.219896,Ivanhoe
93238,35.729116,-118.391888,Kernville (former town)
93239,36.047190,-119.990217,Kettleman City
93240,35.617546,-118.452285,Lake Isabella
93241,35.254701,-118.912678,Lamont
93242,36.442077,-119.727734,Laton
93244,36.488656,-118.998043,Lemon Cove
93245,36.292270,-119.829463,Lemoore
93247,36.206269,-119.071075,Lindsay
93249,35.621706,-119.887939,Lost Hills
93250,35.665082,-119.197958,McFarland
93251,35.335636,-119.758248,McKittrick
93252,34.710034,-119.243808,Maricopa
93254,34.966867,-119.810433,New Cuyama
93255,35.677330,-118.101417,Onyx
93256,35.960636,-119.312992,Pixley
93257,35.988087,-118.860221,Porterville
93258,36.054380,-119.150397,Porterville
93260,35.817247,-118.669124,Posey
93261,35.808535,-119.128083,Earlimart
93262,36.615624,-118.697574,Woodlake
93263,35.492805,-119.286861,Shafter
93265,36.245404,-118.693313,Springville
93266,36.145394,-119.867288,Stratford
93267,36.151180,-119.049222,Strathmore
93268,35.162393,-119.425116,Taft
93270,35.952426,-119.072843,Terra Bella
93271,36.469275,-118.800919,Three Rivers
93272,36.047414,-119.344304,Tipton
